"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the search result page heading","928","testSearchResultInPageHeading","CrossBrowserSuite","Sun May 18 00:31:23 GMT 2025","passed","Sun May 18 00:31:24 GMT 2025","com.opencart.test.SearchTest","ChromeTest","com.opencart.test.SearchTest","testSearchResultInPageHeading"
"TC_03 Verify the Store navigation menu options without dropdown","1707","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:31:16 GMT 2025","passed","Sun May 18 00:31:18 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","798","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:32:49 GMT 2025","passed","Sun May 18 00:32:50 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","2165","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:31:16 GMT 2025","passed","Sun May 18 00:31:18 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the successful file uploading on the Apple Cinema page","3005","testAppleCinemaFileUploading","Surefire suite","Sun May 18 00:33:15 GMT 2025","passed","Sun May 18 00:33:18 GMT 2025","com.opencart.test.FileUploadingTest","Surefire test","com.opencart.test.FileUploadingTest","testAppleCinemaFileUploading"
"TC_03 Verify the Store navigation menu options without dropdown","1633","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:32:43 GMT 2025","passed","Sun May 18 00:32:45 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","1944","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:32:44 GMT 2025","passed","Sun May 18 00:32:46 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the opened product breadcrumb path","1667","testProductPath","CrossBrowserSuite","Sun May 18 00:31:35 GMT 2025","passed","Sun May 18 00:31:37 GMT 2025","com.opencart.test.ProductTest","ChromeTest","com.opencart.test.ProductTest","testProductPath"
"TC_02 Verify the Store navigation menu options via dropdown","2042","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:32:43 GMT 2025","passed","Sun May 18 00:32:46 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","1812","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:32:00 GMT 2025","passed","Sun May 18 00:32:02 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","1453","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:31:16 GMT 2025","passed","Sun May 18 00:31:18 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","2345","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:32:02 GMT 2025","passed","Sun May 18 00:32:04 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the added item name via cart preview","1523","testAddedItemNameViaCartPreview","CrossBrowserSuite","Sun May 18 00:31:27 GMT 2025","passed","Sun May 18 00:31:29 GMT 2025","com.opencart.test.CartTest","ChromeTest","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"Verify a registered user can log in","2051","testLogin","CrossBrowserSuite","Sun May 18 00:32:17 GMT 2025","passed","Sun May 18 00:32:19 GMT 2025","com.opencart.test.LoginTest","FirefoxTest","com.opencart.test.LoginTest","testLogin"
"Verify the opened product name","1793","testProductName","CrossBrowserSuite","Sun May 18 00:32:31 GMT 2025","passed","Sun May 18 00:32:33 GMT 2025","com.opencart.test.ProductTest","FirefoxTest","com.opencart.test.ProductTest","testProductName"
"Verify the Store home page is opened via current URL and the page title","128","testStoreHomePageURLAndTitle","CrossBrowserSuite","Sun May 18 00:32:00 GMT 2025","passed","Sun May 18 00:32:01 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"Verify the search field visibility","47","testSearchFieldVisibility","CrossBrowserSuite","Sun May 18 00:31:23 GMT 2025","passed","Sun May 18 00:31:23 GMT 2025","com.opencart.test.SearchTest","ChromeTest","com.opencart.test.SearchTest","testSearchFieldVisibility"
"TC_02 Verify the Store navigation menu options via dropdown","1488","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:32:04 GMT 2025","passed","Sun May 18 00:32:05 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the Store home page is opened via current URL and the page title","84","testStoreHomePageURLAndTitle","CrossBrowserSuite","Sun May 18 00:32:44 GMT 2025","passed","Sun May 18 00:32:44 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
